project_id,work_name,sector,work_type,state,district,constituency,mp_name,sanction_date,start_date,expected_completion_date,completion_date,status,sanctioned_amount,estimated_cost,actual_expenditure,physical_progress_percentage,implementing_agency,beneficiary_count,latitude,longitude
"MPL-2025-BI-0021","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Sitapur, Block Patna","Energy & Lighting","Solar Street Lights","Bihar","Patna","Patna Parliamentary Constituency","Sanjay Jha","2025-03-24","2025-04-27","2025-09-27","","In Progress",1200000,1200000,693360,54,"District Rural Development Agency",3740,24.6761,83.7731
"MPL-2023-TA-0022","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Bhagwanpur, Block Coimbatore","Education","School Classroom Block","Tamil Nadu","Coimbatore","Coimbatore Parliamentary Constituency","K. Kanimozhi","2023-04-06","2023-04-26","2024-01-26","2024-01-31","Completed",2400000,2400000,2460000,100,"State Educational Infrastructure Dev Corp",5380,11.3021,78.1319
"MPL-2024-RA-0023","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Keshopur, Block Udaipur","Healthcare","Primary Health Centre","Rajasthan","Udaipur","Udaipur Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-13","2024-06-03","2025-02-03","2025-02-09","Completed",1500000,1500000,1380000,100,"State Health System Corp",4500,27.7938,74.7079
"MPL-2025-KA-0024","Establishment of Youth Digital Library and E-Learning Hub at Shahpur, Block Tumakuru","Education","Public Library","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-20","2025-07-12","2026-01-12","2026-01-19","Completed",1400000,1400000,1309000,100,"Education Department",4580,16.6823,77.2189
"MPL-2023-MA-0025","Construction of Underground Covered RCC Drain in Shivpur, Block Bhopal","Water & Sanitation","Drainage Network","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-02","2023-07-25","2023-12-25","2024-01-02","Completed",2000000,2000000,1900000,100,"Urban Local Bodies Directorate",5500,21.4334,77.6769
"MPL-2024-GU-0026","Construction of Model Anganwadi Child Care Centre in Village Govindpur, Block Surat","Rural Development","Anganwadi Centre","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-09","2024-09-02","2025-04-02","","Delayed",900000,900000,765000,65,"Panchayat Samiti",4380,21.3137,71.2274
"MPL-2025-OD-0027","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Madhopur, Block Ganjam","Public Amenities","Crematorium Shed","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-16","2025-10-11","2026-01-11","","Delayed",1100000,1100000,1298000,55,"District Rural Infrastructure Corp (DRIC)",2820,20.6017,86.1485
"MPL-2023-WE-0028","Installation of Open Gym Equipment and Play Ground Development in Mohanpur, Block Hooghly","Sports & Youth Affairs","Open Gym & Sports","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-23","2023-11-18","2024-02-18","","In Progress",800000,800000,478240,61,"Sports & Youth Welfare Directorate",2660,23.2318,86.42
"MPL-2024-AS-0029","Construction of CC Road and Interlocking Pavement in Sundarpur, Block Silchar","Infrastructure","Road Construction","Assam","Silchar","Silchar Parliamentary Constituency","Gaurav Gogoi","2024-11-05","2024-12-02","2025-06-02","2025-06-14","Completed",1800000,1800000,1818000,100,"Rural Engineering Services (RES)",4060,27.0406,92.5176
"MPL-2025-KE-0030","Construction of Dr. Ambedkar Community Center & Bhavan at Narayanpur, Block Thrissur","Public Amenities","Community Hall","Kerala","Thrissur","Thrissur Parliamentary Constituency","Shashi Tharoor","2025-12-12","2026-01-09","2026-09-09","2026-10-24","Completed",2200000,2200000,2684000,100,"Municipal Corporation",4740,12.2855,76.8661
"MPL-2023-UT-0031","Installation of Solar-Powered Deep Tube Well & RO Plant in Sitapur, Block Ghaziabad","Water & Sanitation","Drinking Water Borewell","Uttar Pradesh","Ghaziabad","Ghaziabad Parliamentary Constituency","Rajveer Singh","2023-01-19","2023-02-17","2023-04-17","2023-05-01","Completed",600000,600000,552000,100,"Public Health Engineering Dept (PHED)",3020,25.3767,82.5562
"MPL-2024-MA-0032","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Bhagwanpur, Block Nagpur","Energy & Lighting","Solar Street Lights","Maharashtra","Nagpur","Nagpur Parliamentary Constituency","Sanjay Deshmukh","2024-02-01","2024-03-02","2024-07-02","2024-06-22","Completed",1200000,1200000,1122000,100,"Zila Panchayat Electrical Wing",3940,18.8765,74.8389
"MPL-2025-BI-0033","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Keshopur, Block Purnia","Education","School Classroom Block","Bihar","Purnia","Purnia Parliamentary Constituency","Sanjay Jha","2025-03-08","2025-04-08","2025-12-08","2025-11-29","Completed",2400000,2400000,2280000,100,"Samagra Shiksha Abhiyan Cell",5580,24.8161,85.4531
"MPL-2023-TA-0034","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Shahpur, Block Vellore","Healthcare","Primary Health Centre","Tamil Nadu","Vellore","Vellore Parliamentary Constituency","K. Kanimozhi","2023-04-15","2023-05-17","2023-12-17","2023-12-09","Completed",1500000,1500000,1447500,100,"National Health Mission (NHM) Cell",4700,11.4421,79.8119
"MPL-2024-RA-0035","Establishment of Youth Digital Library and E-Learning Hub at Shivpur, Block Jaipur","Education","Public Library","Rajasthan","Jaipur","Jaipur Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-22","2024-06-24","2025-01-24","","In Progress",1400000,1400000,990080,68,"Zila Parishad",4780,27.9338,72.8879
"MPL-2025-KA-0036","Construction of Underground Covered RCC Drain in Govindpur, Block Tumakuru","Water & Sanitation","Drainage Network","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-04","2025-07-08","2026-05-08","","In Progress",2000000,2000000,1900000,70,"District Rural Infrastructure Corp (DRIC)",5700,16.8223,75.3989
"MPL-2023-MA-0037","Construction of Model Anganwadi Child Care Centre in Village Madhopur, Block Bhopal","Rural Development","Anganwadi Centre","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-11","2023-07-31","2023-10-31","2023-10-26","Completed",900000,900000,909000,100,"Women & Child Development Dept",2580,21.5734,79.3569
"MPL-2024-GU-0038","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Mohanpur, Block Surat","Public Amenities","Crematorium Shed","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-18","2024-09-08","2025-03-08","","Stalled",1100000,1100000,440000,25,"Municipal Council",3020,21.4537,72.9074
"MPL-2025-OD-0039","Installation of Open Gym Equipment and Play Ground Development in Sundarpur, Block Ganjam","Sports & Youth Affairs","Open Gym & Sports","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-25","2025-10-17","2025-12-17","2025-12-14","Completed",800000,800000,736000,100,"Panchayat Sports Wing",2860,20.7417,84.3285
"MPL-2023-WE-0040","Construction of CC Road and Interlocking Pavement in Narayanpur, Block Hooghly","Infrastructure","Road Construction","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-07","2023-10-30","2024-05-30","2024-05-28","Completed",1800000,1800000,1683000,100,"Public Works Department (PWD)",4260,23.3718,88.1
"MPL-2024-AS-0041","Construction of Dr. Ambedkar Community Center & Bhavan at Sitapur, Block Jorhat","Public Amenities","Community Hall","Assam","Jorhat","Jorhat Parliamentary Constituency","Gaurav Gogoi","2024-11-14","2024-12-08","2025-12-08","2025-12-07","Completed",2200000,2200000,2090000,100,"Zila Parishad",4940,27.1806,94.1976
"MPL-2025-KE-0042","Installation of Solar-Powered Deep Tube Well & RO Plant in Bhagwanpur, Block Thiruvananthapuram","Water & Sanitation","Drinking Water Borewell","Kerala","Thiruvananthapuram","Thiruvananthapuram Parliamentary Constituency","Shashi Tharoor","2025-12-21","2026-01-15","2026-06-15","","In Progress",600000,600000,427500,75,"Panchayati Raj Dept",3220,12.4255,75.0461
"MPL-2023-UT-0043","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Keshopur, Block Kanpur Nagar","Energy & Lighting","Solar Street Lights","Uttar Pradesh","Kanpur Nagar","Kanpur Nagar Parliamentary Constituency","Rajveer Singh","2023-01-03","2023-01-29","2023-04-29","2023-04-30","Completed",1200000,1200000,1176000,100,"State Renewable Energy Dev Agency",4140,25.5167,80.7362
"MPL-2024-MA-0044","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Shahpur, Block Solapur","Education","School Classroom Block","Maharashtra","Solapur","Solapur Parliamentary Constituency","Sanjay Deshmukh","2024-02-10","2024-03-08","2024-10-08","2024-10-10","Completed",2400000,2400000,2388000,100,"PWD (Building Division)",5780,19.0165,76.5189
"MPL-2025-BI-0045","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Shivpur, Block Bhagalpur","Healthcare","Primary Health Centre","Bihar","Bhagalpur","Bhagalpur Parliamentary Constituency","Sanjay Jha","2025-03-17","2025-04-14","2025-10-14","","Delayed",1500000,1500000,1275000,65,"PWD (Health Division)",4900,24.9561,83.6331
"MPL-2023-TA-0046","Establishment of Youth Digital Library and E-Learning Hub at Govindpur, Block Tiruchirappalli","Education","Public Library","Tamil Nadu","Tiruchirappalli","Tiruchirappalli Parliamentary Constituency","K. Kanimozhi","2023-04-24","2023-05-23","2024-01-23","2024-01-27","Completed",1400000,1400000,1435000,100,"District Library Authority",4980,11.5821,77.9919
"MPL-2024-RA-0047","Construction of Underground Covered RCC Drain in Madhopur, Block Bikaner","Water & Sanitation","Drainage Network","Rajasthan","Bikaner","Bikaner Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-06","2024-06-05","2025-03-05","2025-03-10","Completed",2000000,2000000,1840000,100,"Jal Sansthan",3900,28.0738,74.5679
"MPL-2025-KA-0048","Construction of Model Anganwadi Child Care Centre in Village Mohanpur, Block Tumakuru","Rural Development","Anganwadi Centre","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-13","2025-07-14","2025-11-14","2025-11-20","Completed",900000,900000,841500,100,"Rural Works Organization",2780,16.9623,77.0789
"MPL-2023-MA-0049","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Sundarpur, Block Bhopal","Public Amenities","Crematorium Shed","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-20","2023-08-21","2024-01-21","","In Progress",1100000,1100000,911020,82,"Zila Parishad",3220,0,0
"MPL-2024-GU-0050","Installation of Open Gym Equipment and Play Ground Development in Narayanpur, Block Surat","Sports & Youth Affairs","Open Gym & Sports","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-02","2024-09-04","2025-02-04","2025-02-12","Completed",800000,800000,772000,100,"Municipal Board",3060,21.5937,71.0874
"MPL-2025-OD-0051","Construction of CC Road and Interlocking Pavement in Sitapur, Block Ganjam","Infrastructure","Road Construction","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-09","2025-10-13","2026-06-13","2026-06-22","Completed",1800000,1800000,1764000,100,"Zila Parishad Engineering Wing",4460,20.8817,86.0085
"MPL-2023-WE-0052","Construction of Dr. Ambedkar Community Center & Bhavan at Bhagwanpur, Block Hooghly","Public Amenities","Community Hall","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-16","2023-11-05","2024-08-05","2024-08-15","Completed",2200000,2200000,2189000,100,"Rural Development Authority",5140,23.5118,86.28
"MPL-2024-AS-0053","Installation of Solar-Powered Deep Tube Well & RO Plant in Keshopur, Block Dibrugarh","Water & Sanitation","Drinking Water Borewell","Assam","Dibrugarh","Dibrugarh Parliamentary Constituency","Gaurav Gogoi","2024-11-23","2024-12-14","2025-04-14","2025-05-29","Completed",600000,600000,732000,100,"Jal Nigam",3420,27.3206,92.3776
"MPL-2025-KE-0054","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Shahpur, Block Kozhikode","Energy & Lighting","Solar Street Lights","Kerala","Kozhikode","Kozhikode Parliamentary Constituency","Shashi Tharoor","2025-12-05","2025-12-27","2026-06-27","2026-07-09","Completed",1200000,1200000,1230000,100,"District Rural Development Agency",4340,12.5655,76.7261
"MPL-2023-UT-0055","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Shivpur, Block Meerut","Education","School Classroom Block","Uttar Pradesh","Meerut","Meerut Parliamentary Constituency","Rajveer Singh","2023-01-12","2023-02-04","2023-08-04","2023-08-17","Completed",2400000,2400000,2208000,100,"State Educational Infrastructure Dev Corp",5980,25.6567,82.4162
"MPL-2024-MA-0056","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Govindpur, Block Nagpur","Healthcare","Primary Health Centre","Maharashtra","Nagpur","Nagpur Parliamentary Constituency","Sanjay Deshmukh","2024-02-19","2024-03-14","2024-08-14","","In Progress",1500000,1500000,706200,44,"State Health System Corp",5100,19.1565,74.6989
"MPL-2025-BI-0057","Establishment of Youth Digital Library and E-Learning Hub at Madhopur, Block Gaya","Education","Public Library","Bihar","Gaya","Gaya Parliamentary Constituency","Sanjay Jha","2025-03-01","2025-03-26","2025-07-26","2025-07-16","Completed",1400000,1400000,1330000,100,"Education Department",3180,25.0961,85.3131
"MPL-2023-TA-0058","Construction of Underground Covered RCC Drain in Mohanpur, Block Madurai","Water & Sanitation","Drainage Network","Tamil Nadu","Madurai","Madurai Parliamentary Constituency","K. Kanimozhi","2023-04-08","2023-05-04","2024-01-04","2023-12-26","Completed",2000000,2000000,1930000,100,"Urban Local Bodies Directorate",4100,11.7221,79.6719
"MPL-2024-RA-0059","Construction of Model Anganwadi Child Care Centre in Village Sundarpur, Block Kota","Rural Development","Anganwadi Centre","Rajasthan","Kota","Kota Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-15","2024-06-11","2024-11-11","2024-11-03","Completed",900000,900000,882000,100,"Panchayat Samiti",2980,28.2138,72.7479
"MPL-2025-KA-0060","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Narayanpur, Block Tumakuru","Public Amenities","Crematorium Shed","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-22","2025-07-20","2025-11-20","","In Progress",1100000,1100000,1045000,70,"District Rural Infrastructure Corp (DRIC)",3420,13.6023,75.2589
"MPL-2023-MA-0061","Installation of Open Gym Equipment and Play Ground Development in Sitapur, Block Bhopal","Sports & Youth Affairs","Open Gym & Sports","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-04","2023-08-02","2023-12-02","2023-11-26","Completed",800000,800000,808000,100,"Sports & Youth Welfare Directorate",3260,21.8534,79.2169
"MPL-2024-GU-0062","Construction of CC Road and Interlocking Pavement in Bhagwanpur, Block Surat","Infrastructure","Road Construction","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-11","2024-09-10","2025-01-10","2025-01-05","Completed",1800000,1800000,1845000,100,"Rural Engineering Services (RES)",4660,21.7337,72.7674
"MPL-2025-OD-0063","Construction of Dr. Ambedkar Community Center & Bhavan at Keshopur, Block Ganjam","Public Amenities","Community Hall","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-18","2025-10-19","2026-04-19","","In Progress",2200000,2200000,1099560,51,"Municipal Corporation",5340,21.0217,84.1885
"MPL-2023-WE-0064","Installation of Solar-Powered Deep Tube Well & RO Plant in Shahpur, Block Hooghly","Water & Sanitation","Drinking Water Borewell","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-25","2023-11-26","2024-02-26","","Delayed",600000,600000,510000,65,"Public Health Engineering Dept (PHED)",3620,23.6518,87.96
"MPL-2024-AS-0065","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Shivpur, Block Nagaon","Energy & Lighting","Solar Street Lights","Assam","Nagaon","Nagaon Parliamentary Constituency","Gaurav Gogoi","2024-11-07","2024-12-10","2025-05-10","2025-05-08","Completed",1200000,1200000,1140000,100,"Zila Panchayat Electrical Wing",4540,27.4606,94.0576
"MPL-2025-KE-0066","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Govindpur, Block Kollam","Education","School Classroom Block","Kerala","Kollam","Kollam Parliamentary Constituency","Shashi Tharoor","2025-12-14","2026-01-17","2026-12-17","2026-12-16","Completed",2400000,2400000,2316000,100,"Samagra Shiksha Abhiyan Cell",6180,9.2055,74.9061
"MPL-2023-UT-0067","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Madhopur, Block Lucknow","Healthcare","Primary Health Centre","Uttar Pradesh","Lucknow","Lucknow Parliamentary Constituency","Rajveer Singh","2023-01-21","2023-02-10","2023-06-10","2023-06-10","Completed",1500000,1500000,1470000,100,"National Health Mission (NHM) Cell",3300,25.7967,80.5962
"MPL-2024-MA-0068","Establishment of Youth Digital Library and E-Learning Hub at Mohanpur, Block Solapur","Education","Public Library","Maharashtra","Solapur","Solapur Parliamentary Constituency","Sanjay Deshmukh","2024-02-03","2024-02-24","2024-07-24","2024-07-25","Completed",1400000,1400000,1393000,100,"Zila Parishad",3380,19.2965,76.3789
"MPL-2025-BI-0069","Construction of Underground Covered RCC Drain in Sundarpur, Block Nalanda","Water & Sanitation","Drainage Network","Bihar","Nalanda","Nalanda Parliamentary Constituency","Sanjay Jha","2025-03-10","2025-04-01","2025-11-01","","Delayed",2000000,2000000,2360000,55,"District Rural Infrastructure Corp (DRIC)",4300,25.2361,86.9931
"MPL-2023-TA-0070","Construction of Model Anganwadi Child Care Centre in Village Narayanpur, Block Chennai","Rural Development","Anganwadi Centre","Tamil Nadu","Chennai","Chennai Parliamentary Constituency","K. Kanimozhi","2023-04-17","2023-05-10","2023-11-10","","In Progress",900000,900000,542880,58,"Women & Child Development Dept",3180,11.8621,77.8519
"MPL-2024-RA-0071","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Sitapur, Block Jodhpur","Public Amenities","Crematorium Shed","Rajasthan","Jodhpur","Jodhpur Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-24","2024-06-17","2024-09-17","2024-09-21","Completed",1100000,1100000,1012000,100,"Municipal Council",3620,28.3538,74.4279
"MPL-2025-KA-0072","Installation of Open Gym Equipment and Play Ground Development in Bhagwanpur, Block Tumakuru","Sports & Youth Affairs","Open Gym & Sports","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-06","2025-07-01","2025-10-01","2025-10-06","Completed",800000,800000,748000,100,"Panchayat Sports Wing",3460,13.7423,76.9389
"MPL-2023-MA-0073","Construction of CC Road and Interlocking Pavement in Keshopur, Block Bhopal","Infrastructure","Road Construction","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-13","2023-08-08","2024-01-08","2024-01-14","Completed",1800000,1800000,1710000,100,"Public Works Department (PWD)",4860,21.9934,77.3969
"MPL-2024-GU-0074","Construction of Dr. Ambedkar Community Center & Bhavan at Shahpur, Block Surat","Public Amenities","Community Hall","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-20","2024-09-16","2025-07-16","2025-07-23","Completed",2200000,2200000,2123000,100,"Zila Parishad",5540,21.8737,70.9474
"MPL-2025-OD-0075","Installation of Solar-Powered Deep Tube Well & RO Plant in Shivpur, Block Ganjam","Water & Sanitation","Drinking Water Borewell","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-02","2025-09-30","2025-11-30","2025-12-08","Completed",600000,600000,588000,100,"Panchayati Raj Dept",3820,21.1617,85.8685
"MPL-2023-WE-0076","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Govindpur, Block Hooghly","Energy & Lighting","Solar Street Lights","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-09","2023-11-07","2024-03-07","2024-04-21","Completed",1200000,1200000,1464000,100,"State Renewable Energy Dev Agency",4740,23.7918,86.14
"MPL-2024-AS-0077","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Madhopur, Block Kamrup Metropolitan","Education","School Classroom Block","Assam","Kamrup Metropolitan","Kamrup Metropolitan Parliamentary Constituency","Gaurav Gogoi","2024-11-16","2024-12-16","2025-10-16","","In Progress",2400000,2400000,1482000,65,"PWD (Building Division)",4380,27.6006,92.2376
"MPL-2025-KE-0078","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Mohanpur, Block Ernakulam","Healthcare","Primary Health Centre","Kerala","Ernakulam","Ernakulam Parliamentary Constituency","Shashi Tharoor","2025-12-23","2026-01-23","2026-10-23","2026-11-03","Completed",1500000,1500000,1537500,100,"PWD (Health Division)",3500,9.3455,76.5861
